gbifID,kingdom,phylum,class,order,family,genus,species,decimalLatitude,decimalLongitude,eventDate,populationDensity
3325800757,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aglais,Aglais urticae,47.316288,9.243796,2021-07-03T14:36:00,46.73477
3321279585,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,Columba palumbus,47.398194,9.31668,2021-05-13T13:36:00,583.152
3321267516,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,Aythya fuligula,47.399033,9.319097,2021-05-20T17:07:00,583.152
3321263549,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,Aythya fuligula,47.399136,9.318754,2021-05-20T15:52:00,583.152
3314243769,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Sphinx,Sphinx pinastri,47.366414,9.467366,2004-10-16T13:25:00,153.2753
3302498485,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Lacerta,Lacerta agilis,47.435815,9.586366,2021-06-10T09:07:58,134.0712
3302450179,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus lapidarius,47.45141,9.602329,2021-06-03T17:33:55,294.3509
3301955210,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa crabro,47.45141,9.602329,2021-06-02T16:37:00,294.3509
3113342118,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Triphosa,Triphosa dubitata,47.45141,9.602329,2021-05-09T11:01:54,294.3509
3112494417,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Palomena,Palomena prasina,47.45141,9.602329,2021-05-04T19:14:07,294.3509
3097023919,Animalia,Arthropoda,Insecta,Hemiptera,Reduviidae,Reduvius,Reduvius personatus,47.450908,9.599642,2021-04-18T09:44:14,294.3509
3079771871,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,Eristalis tenax,47.365403,9.463581,2020-07-29T17:36:11,154.9885
3079601325,Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,Bombylius,Bombylius major,47.358334,9.289838,2021-04-02T11:46:09,277.0562
3067858138,Animalia,Chordata,Mammalia,Rodentia,Muridae,Apodemus,Apodemus sylvaticus,47.440679,9.485325,2021-03-18T22:27:00,229.2122
3061675470,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas platyrhynchos,47.397663,9.310837,2021-03-17T17:59:42,583.1521
3039395593,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Eristalis,Eristalis tenax,47.358078,9.289863,2020-08-01T10:35:35,172.9949
3039388121,Animalia,Chordata,Mammalia,Rodentia,Muridae,Apodemus,Apodemus sylvaticus,47.434581,9.459019,2020-01-17T14:29:00,229.2122
3039113079,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Myodes,Myodes glareolus,47.434609,9.458256,2020-01-14T08:05:00,387.4828
3032173732,Animalia,Chordata,Mammalia,Rodentia,Muridae,Apodemus,Apodemus sylvaticus,47.453843,9.526476,2020-01-03T04:12:00,512.484
3032147782,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Libellula,Libellula depressa,47.256515,9.317608,2007-06-10T15:00:00,35.47714
3032103708,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Myodes,Myodes glareolus,47.453692,9.526432,2020-01-03T04:38:00,512.484
3032073848,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,Sorex minutus,47.435489,9.461353,2020-12-31T10:15:00,229.2122
3031747738,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinella,Coccinella septempunctata,47.2568,9.31675,2007-06-10T16:09:00,35.47714
3018109661,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Myodes,Myodes glareolus,47.435412,9.461338,2020-12-28T09:59:00,229.2122
3018107699,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Neomys,Neomys fodiens,47.435462,9.461347,2020-12-30T03:35:00,229.2122
3018102679,Animalia,Chordata,Mammalia,Rodentia,Muridae,Apodemus,Apodemus sylvaticus,47.435374,9.46136,2020-12-27T22:07:00,229.2122
3008517534,Animalia,Arthropoda,Insecta,Lepidoptera,Zygaenidae,Zygaena,Zygaena viciae,47.415793,9.490433,2010-07-25T00:00:00,140.3669
3008402442,Animalia,Chordata,Aves,Passeriformes,Certhiidae,Certhia,Certhia familiaris,47.258189,9.310972,2020-07-25T13:07:00,38.56428
2980818495,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Meles,Meles meles,47.284949,9.297646,2020-09-27T13:09:48,46.73478
2980790382,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Mononychus,Mononychus punctumalbum,47.384907,9.30383,2020-05-21T10:29:06,583.152
2963886992,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Coenonympha,Coenonympha oedippus,47.381824,9.468179,2007-07-07T00:00:00,153.2752
2963875993,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Coenonympha,Coenonympha oedippus,47.390462,9.406106,2007-07-07T00:00:00,309.4232
2963875838,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Phengaris,Phengaris teleius,47.395832,9.426913,2007-07-20T00:00:00,318.8484
2868132651,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco tinnunculus,47.254936,9.323102,2020-07-25T15:54:00,35.47714
2862667434,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Leptoglossus,Leptoglossus occidentalis,47.389358,9.29158,2020-09-10T14:07:02,583.152
2862602362,Animalia,Chordata,Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,47.374063,9.224565,2015-09-20T08:44:00,86.37743
2850812411,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Tettigonia,Tettigonia viridissima,47.451364,9.602329,2020-08-19T13:14:17,294.3509
2850767384,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Diplolepis,Diplolepis rosae,47.451364,9.602329,2020-07-05T14:34:46,294.3509
2826408469,Animalia,Arthropoda,Insecta,Diptera,Muscidae,Musca,Musca autumnalis,47.384896,9.303727,2020-05-21T10:09:28,583.152
2826184025,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Episyrphus,Episyrphus balteatus,47.256942,9.311336,2020-07-25T13:03:00,38.56428
2826166014,Animalia,Chordata,Aves,Passeriformes,Paridae,Periparus,Periparus ater,47.257995,9.310868,2020-07-25T13:06:00,38.56428
2826138037,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Fringilla,Fringilla coelebs,47.258851,9.316167,2020-07-25T12:17:00,38.43499
2826135023,Animalia,Chordata,Aves,Passeriformes,Paridae,Lophophanes,Lophophanes cristatus,47.258044,9.31084,2020-07-25T13:07:00,38.56428
2803113647,Animalia,Arthropoda,Insecta,Coleoptera,Melolonthidae,Hoplia,Hoplia philanthus,47.275582,9.32501,2019-07-19T11:07:00,38.68554
2802790758,Animalia,Chordata,Reptilia,Squamata,Anguidae,Anguis,Anguis fragilis,47.392778,9.44655,2017-07-22T17:53:51,303.623
2626474072,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Episyrphus,Episyrphus balteatus,47.384918,9.303918,2020-05-21T10:14:08,583.152
2626386331,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Dermestes,Dermestes lardarius,47.38935,9.291378,2020-05-09T10:57:09,583.152
2626332525,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Pyrrhosoma,Pyrrhosoma nymphula,47.3848,9.303798,2020-05-21T09:40:17,583.152
2626272767,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Pyrrhosoma,Pyrrhosoma nymphula,47.385009,9.303923,2020-05-21T10:37:17,583.152
2626158568,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,47.396816,9.340153,2020-05-08T12:01:15,143.0217
2626134232,Animalia,Arthropoda,,Araneae,Araneidae,Nuctenea,Nuctenea umbratica,47.396178,9.340423,2020-05-08T19:37:20,143.0217
2620027829,Animalia,Arthropoda,,Opiliones,Phalangiidae,Phalangium,Phalangium opilio,47.396184,9.340311,2020-05-07T11:31:05,143.0217
2620014819,Animalia,Arthropoda,,Opiliones,Phalangiidae,Phalangium,Phalangium opilio,47.396179,9.340382,2020-05-07T11:31:58,143.0217
2557813042,Animalia,Chordata,Aves,Passeriformes,Paridae,Cyanistes,Cyanistes caeruleus,47.369131,9.321965,2020-01-16T08:21:15,38.3097
2465297110,Animalia,Chordata,Reptilia,Squamata,Anguidae,Anguis,Anguis fragilis,47.451364,9.602329,2019-09-07T12:05:32,294.3509
2422908557,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Motacilla,Motacilla alba,47.255502,9.320277,2019-08-16T17:06:00,35.47714
2422908012,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Linaria,Linaria cannabina,47.25501,9.317636,2019-08-16T17:04:00,35.47714
2422907883,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Fringilla,Fringilla coelebs,47.255537,9.318958,2019-08-16T17:04:00,35.47714
2422907660,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus spinoletta,47.255502,9.319001,2019-08-16T17:06:00,35.47714
2422906459,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus spinoletta,47.255247,9.317573,2019-08-16T16:59:00,35.47714
2422906446,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Motacilla,Motacilla alba,47.255514,9.320247,2019-08-16T17:06:00,35.47714
2422905025,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus spinoletta,47.255376,9.317292,2019-08-16T17:04:00,35.47714
2422904081,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Fringilla,Fringilla coelebs,47.255249,9.317578,2019-08-16T17:03:00,35.47714
2397673352,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Leptoglossus,Leptoglossus occidentalis,47.389362,9.291628,2019-09-01T14:41:10,583.152
2397635510,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Pentatoma,Pentatoma rufipes,47.389438,9.2915,2019-08-30T22:51:00,583.152
1914240075,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Rupicapra,Rupicapra rupicapra,47.432471,9.438601,2017-03-08T17:54:00,709.3262
1914237169,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Capreolus,Capreolus capreolus,47.452122,9.539581,2017-03-12T18:24:00,496.6852
1586098214,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,47.37667,9.451705,2017-07-13T13:12:00,153.2752
