gbifID,verbatimScientificName,decimalLatitude,decimalLongitude,populationDensity

3314537535,Vulpes vulpes,47.386986,8.483932,4707.777

3314501516,Capreolus capreolus,47.564842,9.3527,1112.513

3314202713,Castor fiber,46.182346,6.022303,330.9624

3307315706,Talpa europaea,46.165858,8.869542,496.3958

3307177472,Vulpes vulpes,46.514651,6.703418,1261.692

3302507190,Sciurus vulgaris,47.359037,8.57443,4002.599

3302459531,Ondatra zibethicus,47.413175,8.551453,4707.778

3302447508,Sciurus vulgaris,46.224053,6.146659,13291.35

3302371157,Capreolus capreolus,47.35244,8.582408,1564.135

3302309736,Vulpes vulpes,46.52129,6.600737,3571.452

3302153402,Castor fiber,47.482087,8.542305,738.096

3302075948,Meles meles,47.66372,9.149181,474.5425

3302046296,Erinaceus europaeus,47.551501,7.606274,7566.64

3302034850,Erinaceus europaeus,46.514651,6.703418,1261.692

3301897752,Sciurus vulgaris,47.551503,7.606275,7566.64

3124868484,Vulpes vulpes,47.665027,9.130025,474.5425

3124863734,Ondatra zibethicus,47.665012,9.129987,474.5425

3124851284,Castor fiber,47.665032,9.130094,474.5425

3124808859,Erinaceus europaeus,46.360097,6.2123,341.4182

3124703313,Cervus elaphus,46.335521,6.996746,360.9884

3124621977,Sciurus vulgaris,46.177188,8.721962,455.5924

3124541073,Sciurus vulgaris,47.551514,7.606307,7566.64

3118382062,Ovis aries,47.271782,8.196593,923.1265

3113684400,Capreolus capreolus,47.494958,8.530423,842.8644

3113626468,Vulpes vulpes,46.238486,6.13468,9037.16

3113434411,Myodes glareolus,47.44036,9.435858,784.914

3113371313,Capreolus capreolus,47.667746,9.136321,513.3874

3113293437,Apodemus sylvaticus,47.461534,9.52563,404.0878

3113293420,Apodemus flavicollis,47.440375,9.435993,784.914

3113257525,Apodemus sylvaticus,47.456476,9.525671,512.484

3112768809,Martes foina,47.337488,8.443479,473.3641

3112637655,Sciurus vulgaris,46.235959,6.0725,2497.488

3112596548,Sciurus vulgaris,46.212138,6.135695,13291.35

3112414320,Myodes glareolus,47.456358,9.525515,512.484

3112411532,Vulpes vulpes,47.504885,8.738846,1713.365

3109419358,Sus scrofa,47.577343,8.241968,517.9698

3109407382,Rupicapra rupicapra,46.851297,9.480292,328.0668

3109311258,Erinaceus europaeus,47.551492,7.606261,7566.64

3109167535,Capreolus capreolus,47.667271,9.13856,513.3874

3109162866,Sorex minutus,47.454474,9.526602,512.484

3109151032,Sciurus vulgaris,46.524635,6.630413,3571.452

3097280941,Sciurus vulgaris,47.393736,8.035332,1796.615

3097255991,Ondatra zibethicus,47.481947,9.581749,1508.299

3097170731,Sciurus vulgaris,46.159524,8.804107,878.3904

3097070026,Sciurus vulgaris,46.159594,8.80387,878.3904

3097039926,Myodes glareolus,46.524815,6.630096,3571.452

3097002969,Sciurus vulgaris,46.524815,6.630096,3571.452

3090949812,Sciurus vulgaris,46.221159,6.152405,13291.35

3090883609,Sus scrofa,47.445981,8.513536,2513.999

3090837252,Rupicapra rupicapra,46.375223,7.031286,311.8799

3090830739,Myodes glareolus,47.007308,6.936247,1987.72

3090753578,Capreolus capreolus,47.446242,8.513356,2513.999

3090707951,Capreolus capreolus,47.389221,8.460061,1755.179

3090622698,Hypsugo savii,46.125824,7.042673,771.326

3090595533,Vulpes vulpes,46.199532,6.158478,13083.58

3090583735,Martes foina,47.389427,8.491673,4707.778

3090576700,Myotis daubentonii,46.191418,6.209262,3592.304

3090573225,Cervus elaphus,46.301437,6.130728,996.4677

3090551750,Erinaceus europaeus,47.382197,8.496949,4707.778

3090536681,Crocidura russula,46.999653,6.938933,1987.72

3090534688,Lepus europaeus,46.228577,6.237126,373.2685

3090528694,Nyctalus leisleri,46.300625,6.247434,1196.214

3079878602,Talpa europaea,47.353507,8.586216,1564.135

3079864597,Myodes glareolus,47.461518,9.525592,404.0878

3079843410,Vulpes vulpes,47.028188,8.30707,1019.842

3079834156,Sciurus vulgaris,47.551522,7.606274,7566.64

3079751175,Sciurus vulgaris,47.396684,8.525549,4707.778

3079667410,Sciurus vulgaris,47.402073,8.482498,4707.777

3079617475,Castor fiber,47.237619,8.406822,536.1649

3079589195,Capreolus capreolus,46.234571,6.838075,596.2383

3070778676,Erinaceus europaeus,47.551614,7.606364,7566.64

3070690395,Capreolus capreolus,46.338684,6.996409,360.9884

3070664650,Erinaceus europaeus,47.55145,7.606233,7566.64

3070496298,Equus asinus,46.171055,8.939937,301.006

3070379190,Apodemus sylvaticus,47.517569,8.670983,1713.366

3068060390,Apodemus flavicollis,47.44008,9.440035,784.914

3067992543,Arvicola scherman,47.440365,9.435939,784.914

3067887542,Microtus arvalis,47.440357,9.435918,784.914

3067751864,Sciurus vulgaris,46.172929,8.743556,914.5413

3067659699,Sciurus vulgaris,46.194587,6.157962,11822.97

3061755739,Sciurus vulgaris,46.021628,8.950035,2039.136

3061685305,Erinaceus europaeus,46.289069,6.168227,1595.672

3061668489,Sciurus vulgaris,47.551503,7.606275,7566.64

3061666767,Sciurus vulgaris,46.237288,6.077547,2499.038

3061662160,Vulpes vulpes,47.562508,7.562792,7400.587

3061657483,Sciurus vulgaris,47.551503,7.606275,7566.64

3061648584,Felis catus,46.162598,8.871297,496.3958

3061560443,Sciurus vulgaris,47.551544,7.606419,7566.64

3061530448,Erinaceus europaeus,47.551512,7.606242,7566.64

3061518479,Sciurus vulgaris,47.551533,7.60618,7566.64

3061514482,Sciurus vulgaris,47.551503,7.606275,7566.64

3058836404,Meles meles,46.338582,7.000602,464.7269

3058751798,Lepus europaeus,46.334847,6.192525,1430.288

3058743083,Capreolus capreolus,46.339092,6.179538,698.5927

3044946483,Sciurus vulgaris,46.173238,8.744308,914.5413

3044919326,Crocidura russula,46.476178,6.878844,427.7762

3044906615,Castor fiber,46.973463,7.466084,2452.852

3044849196,Sciurus vulgaris,47.664619,9.145472,474.5425

3044840171,Myodes glareolus,47.665114,9.151164,475.2139

3044836041,Rupicapra rupicapra,47.440323,9.435633,784.914

3044798617,Mustela erminea,47.150833,8.216575,528.1858

3044762015,Vulpes vulpes,47.440426,9.440965,784.914

3044741706,Pipistrellus kuhlii,46.21081,6.208148,5329.152

3044737110,Capra ibex,46.373222,7.007844,311.8799

3044735976,Martes foina,47.441461,9.441097,784.914

3044673959,Mustela erminea,47.319632,8.695765,610.8695

3044662555,Oryctolagus cuniculus,46.209126,6.130987,13291.35

3044655468,Felis catus,46.16292,8.872275,496.3958

3044651511,Erinaceus europaeus,46.208908,6.12991,13291.35

3044650230,Myodes glareolus,47.665797,9.149893,474.5425

3044644997,Meles meles,47.440334,9.440785,784.914

3044580998,Capreolus capreolus,47.440333,9.441019,784.914

3044579428,Eutamias sibiricus,46.219428,6.150692,13291.35

3044575996,Martes martes,47.441393,9.441811,518.2029

3044569030,Sciurus vulgaris,47.440393,9.44112,784.914

3044555997,Cervus elaphus elaphus,47.441285,9.445091,518.2029

3039479483,Castor fiber,47.073783,8.319918,3081.454

3039403939,Mustela erminea,47.152831,8.214142,528.1858

3039385953,Mustela erminea,47.152897,8.214271,528.1858

3039362497,Castor fiber,47.061739,8.295885,3081.454

3039353539,Castor fiber,47.069515,8.31391,3063.198

3039328947,Capreolus capreolus,47.149443,8.197999,528.2208

3039308442,Sciurus vulgaris,46.235933,6.072575,2497.488

3039302976,Lepus europaeus,46.3583,6.183388,583.7753

3039285486,Sciurus vulgaris,46.235959,6.072549,2497.488

3039244032,Sciurus vulgaris,47.402072,8.484331,4707.777

3039113079,Myodes glareolus,47.434609,9.458256,387.4828

3032173732,Apodemus sylvaticus,47.453843,9.526476,512.484

3032169346,Castor fiber,47.573524,8.250602,620.9932

3032158177,Sciurus vulgaris,46.514606,6.703319,1261.692

3032103708,Myodes glareolus,47.453692,9.526432,512.484

3032072977,Glis glis,46.564485,6.594489,886.4599

3032008292,Sciurus vulgaris,46.235563,6.072607,2497.488

3031911506,Mustela erminea,47.254243,8.753153,1990.682

3031826181,Sciurus vulgaris,46.159371,8.803769,878.3904

3031674211,Mus musculus,47.337369,8.443571,473.3641

3031648150,Apodemus flavicollis,47.441387,9.440801,784.914

3018120644,Sciurus vulgaris,46.235468,6.072757,2497.488

3017988730,Apodemus sylvaticus,47.441392,9.440868,784.914

3008541581,Vulpes vulpes,47.665147,9.154382,475.2139

3008491916,Vulpes vulpes,47.66479,9.129607,474.5425

3008471165,Sciurus vulgaris,46.161028,8.80519,878.3904

3008463620,Martes foina,47.665153,9.154357,475.2139

2992740590,Vulpes vulpes,46.341503,7.003278,464.7269

2992717930,Sciurus vulgaris,46.286005,6.15852,1595.672

2988683956,Sciurus vulgaris,46.28235,6.158997,1377.079

2988663332,Capreolus capreolus,47.335242,8.449166,473.3641

2988625951,Sciurus vulgaris,46.159984,6.12986,2010.299

2988550746,Sciurus vulgaris,47.280573,8.563684,1502.057

2988467231,Felis catus,46.163253,8.952022,347.8882

2988322220,Meles meles,47.447882,8.519627,2197.237

2988293955,Cervus elaphus,46.303618,6.128915,996.4677

2984523697,Sciurus vulgaris,47.166787,8.30397,1077.53

2984510653,Erinaceus europaeus,47.451992,8.598822,1198.438

2984409313,Capreolus capreolus,46.414722,6.286575,1716.412

2984353311,Capreolus capreolus,46.343067,6.178503,887.0219

2981095368,Myotis daubentonii,46.52233,6.573438,1970.898

2980959393,Arvicola amphibius,47.422688,7.575908,590.4586

2980866263,Martes foina,46.476255,6.878834,427.7762

2980838355,Capreolus capreolus,46.341353,6.999588,360.9884

2980826413,Crocidura russula,47.583333,8.233333,517.9684

2980814397,Vulpes vulpes,46.514664,6.703403,1261.692

2980814351,Apodemus sylvaticus,47.196312,8.861062,1028.692

2980802393,Erinaceus europaeus,47.364554,7.337748,396.8461

2980800384,Crocidura russula,46.493345,6.732725,558.3329

2980794406,Castor fiber,46.518063,6.581112,1970.898

2980777417,Castor fiber,46.518025,6.58108,1970.898

2963950574,Castor fiber,47.649063,9.191537,2146.975

2963910373,Erinaceus europaeus,46.33432,6.193005,1430.288

2963898840,Capreolus capreolus,47.262053,8.770688,749.4376

2963856834,Capreolus capreolus,47.262053,8.770688,749.4376

2963785558,Sciurus vulgaris,46.159062,8.802585,878.3904

2901533288,Sciurus vulgaris,46.1996,6.158765,13083.58

2898531278,Erinaceus europaeus,46.462055,6.334895,3142.123

2898501709,Rattus norvegicus,46.236377,6.074096,2497.488

2898452080,Rattus norvegicus,46.235223,6.074506,2497.488

2898447513,Cervus elaphus,46.299112,6.143119,1595.672

2883217459,Sciurus vulgaris,46.176185,6.116489,2753.679

2883155974,Erinaceus europaeus,46.611045,7.065703,1065.743

2883068516,Sciurus vulgaris,46.198087,6.123092,6717.942

2883037837,Sciurus vulgaris,46.174974,6.118411,2412.308

2882981556,Erinaceus europaeus,46.610999,7.065789,1065.743

2873947703,Sus scrofa,46.298295,6.14426,1595.672

2873726307,Lepus europaeus,46.335029,6.996867,360.9884

2868292469,Sciurus vulgaris,46.22495,6.146883,13291.35

2864815730,Sciurus vulgaris,46.237336,6.076212,2499.038

2862497568,Lepus europaeus,46.351487,6.179537,483.3296

2860167275,Capreolus capreolus,46.347905,6.18105,887.0219

2860100721,Sciurus vulgaris,46.150599,8.77797,1357.63

2859969035,Erinaceus europaeus,47.276958,8.762033,695.0521

2859921864,Castor fiber,47.397694,8.729363,1301.142

2859911872,Castor fiber,47.394942,8.73068,1301.142

2856746708,Capreolus capreolus,46.163852,8.863872,676.6747

2851074568,Erinaceus europaeus,46.287204,6.154409,1595.672

2850949821,Castor fiber,46.359883,6.219337,502.0959

2850902877,Capreolus capreolus,47.508679,7.735814,947.234

2850867522,Erinaceus europaeus,46.017631,8.953113,2039.136

2845332373,Nyctalus noctula,46.972277,7.466904,2452.852

2844841004,Erinaceus europaeus,46.84685,7.234097,332.5677

2844508243,Myodes glareolus,47.299,8.5345,914.5945

2844190812,Capreolus capreolus,46.177749,6.011363,365.724

2843964478,Capreolus capreolus,46.180877,6.016413,365.724

2843724932,Capreolus capreolus,46.182571,6.016798,330.9624

2843724931,Capreolus capreolus,46.182611,6.01684,330.9624

2843724748,Capreolus capreolus,46.182733,6.017004,330.9624

2842718413,Sciurus vulgaris,46.179398,6.008873,365.724

2842661722,Myodes glareolus,47.67696,8.610571,719.3855

2842619814,Capreolus capreolus,46.179002,6.014791,365.724

2842602568,Capreolus capreolus,46.178972,6.014805,365.724

2842490655,Sciurus vulgaris,46.180777,6.016361,365.724

2842343463,Capreolus capreolus,46.182582,6.016817,330.9624

2842218594,Capreolus capreolus,46.180713,6.01638,365.724

2842102109,Capreolus capreolus,46.182462,6.016755,330.9624

2842005711,Capreolus capreolus,46.177785,6.011348,365.724

2842005604,Capreolus capreolus,46.177656,6.011387,365.724

2841998316,Sciurus vulgaris,46.1823,6.0236,330.9624

2841909942,Capreolus capreolus,46.18257,6.016765,330.9624

2841909377,Capreolus capreolus,46.179071,6.014809,365.724

2841890277,Sciurus vulgaris,46.178902,6.014854,365.724

2841889031,Capreolus capreolus,46.178999,6.014769,365.724

2841888647,Lepus europaeus,46.180876,6.01639,365.724

2841676947,Sciurus vulgaris,46.18073,6.016355,365.724

2841676837,Sciurus vulgaris,46.178955,6.014822,365.724

2841676801,Capreolus capreolus,46.179018,6.014844,365.724

2841664970,Capreolus capreolus,46.177705,6.011333,365.724

2841628762,Sciurus vulgaris,46.179614,6.015118,365.724

2841504672,Capreolus capreolus,46.179074,6.014879,365.724

2841483593,Sciurus vulgaris,46.179022,6.007758,365.7241

2841452050,Capreolus capreolus,46.178952,6.014755,365.724

2841440927,Cervus elaphus,46.305156,6.140362,1550.767

2841440827,Capreolus capreolus,46.178987,6.014862,365.724

2841354787,Capreolus capreolus,46.177873,6.01142,365.724

2841325336,Eutamias sibiricus,46.221549,6.153502,13291.35

2841280733,Capreolus capreolus,46.17774,6.011353,365.724

2841265241,Capreolus capreolus,46.179277,6.015043,365.724

2841262872,Capreolus capreolus,46.179002,6.014854,365.724

2841221653,Capreolus capreolus,46.180787,6.016387,365.724

2841217925,Capreolus capreolus,46.177687,6.011286,365.724

2841214678,Capreolus capreolus,46.178978,6.014794,365.724

2841156731,Sciurus vulgaris,46.179186,6.008332,365.7241

2840974530,Sus scrofa,46.179019,6.014784,365.724

2840971687,Sciurus vulgaris,46.212169,6.119283,13175.77

2840971362,Capreolus capreolus,46.180753,6.016448,365.724

2840962120,Capreolus capreolus,46.180783,6.016271,365.724

2840923109,Capreolus capreolus,46.178994,6.014852,365.724

2840889120,Capreolus capreolus,46.179045,6.014855,365.724

2840875348,Cervus elaphus,46.304856,6.140742,1550.767

2840734999,Capreolus capreolus,46.1807,6.016401,365.724

2840625545,Capreolus capreolus,46.179029,6.014881,365.724

2840623067,Capreolus capreolus,47.205311,8.03688,330.0932

2840586091,Capreolus capreolus,46.182656,6.016818,330.9624

2840585881,Capreolus capreolus,46.180792,6.016413,365.724

2840525232,Sus scrofa,46.180814,6.016365,365.724

2840525037,Capreolus capreolus,46.18087,6.0167,330.9624

2840513942,Capreolus capreolus,46.182705,6.016704,330.9624

2840486586,Capreolus capreolus,46.182674,6.016894,330.9624

2840469945,Capreolus capreolus,46.182548,6.016827,330.9624

2840376994,Capreolus capreolus,46.182555,6.016847,330.9624

2840255076,Lepus europaeus,46.182654,6.016928,330.9624

2840129874,Cervus elaphus,46.305127,6.140339,1550.767

2840129668,Capreolus capreolus,46.177754,6.01136,365.724

2840075521,Capreolus capreolus,46.177803,6.011326,365.724

2840041194,Capreolus capreolus,46.177579,6.011437,365.724

2839932463,Capreolus capreolus,46.182662,6.016823,330.9624

2839896957,Capreolus capreolus,46.17903,6.01486,365.724

2839896694,Capreolus capreolus,46.178961,6.014892,365.724

2839815877,Sciurus vulgaris,46.182655,6.016876,330.9624

2839815845,Capreolus capreolus,46.177841,6.011383,365.724

2839711131,Capreolus capreolus,46.182685,6.016928,330.9624

2839705520,Capreolus capreolus,46.179009,6.014821,365.724

2839677659,Capreolus capreolus,46.177755,6.011361,365.724

2839654134,Capreolus capreolus,46.17898,6.014954,365.724

2839653777,Capreolus capreolus,46.182464,6.017169,330.9624

2839651075,Capreolus capreolus,46.177772,6.011356,365.724

2839644920,Capreolus capreolus,46.18077,6.016409,365.724

2839634500,Capreolus capreolus,46.178998,6.014795,365.724

2839631755,Capreolus capreolus,46.179029,6.014848,365.724

2839631348,Lepus europaeus,46.182686,6.006047,365.7241

2839599359,Capreolus capreolus,46.178947,6.014896,365.724

2839593682,Capreolus capreolus,46.178982,6.014821,365.724

2839593638,Capreolus capreolus,46.18068,6.01639,365.724

2839583521,Capreolus capreolus,46.202175,6.056914,384.9398

2839547423,Capreolus capreolus,46.180713,6.01638,365.724

2839541662,Capreolus capreolus,46.177706,6.011304,365.724

2839523844,Capreolus capreolus,46.179063,6.014833,365.724

2839519637,Sciurus vulgaris,46.211489,6.118571,13175.77

2839508184,Capreolus capreolus,46.182642,6.016873,330.9624

2839503741,Capreolus capreolus,46.179076,6.014851,365.724

2839503588,Capreolus capreolus,46.183163,6.017765,330.9624

2839499530,Felis catus,46.180825,6.016328,365.724

2839492908,Capreolus capreolus,46.177749,6.011363,365.724

2839483244,Sciurus vulgaris,46.17778,6.012852,365.724

2839454815,Capreolus capreolus,46.179281,6.015001,365.724

2839450144,Capreolus capreolus,46.177694,6.011408,365.724

2839448759,Capreolus capreolus,46.181023,6.016088,365.724

2839439488,Sciurus vulgaris,46.177786,6.011088,365.724

2839428097,Capreolus capreolus,46.179,6.014782,365.724

2839427224,Capreolus capreolus,46.180796,6.016286,365.724

2839426582,Capreolus capreolus,46.179031,6.014884,365.724

2839424928,Capreolus capreolus,46.182571,6.016798,330.9624

2839422267,Sciurus vulgaris,46.178993,6.014912,365.724

2839419843,Sciurus vulgaris,46.180769,6.01636,365.724

2839411554,Sus scrofa,46.180842,6.016444,365.724

2839411429,Capreolus capreolus,46.180781,6.016528,365.724

2839398926,Sus scrofa,46.177788,6.011322,365.724

2839397107,Capreolus capreolus,46.177729,6.011415,365.724

2839393388,Capreolus capreolus,46.182624,6.016797,330.9624

2839393142,Sciurus vulgaris,46.180825,6.016443,365.724

2839392726,Capreolus capreolus,46.179018,6.014844,365.724

2839384818,Capreolus capreolus,46.180731,6.016372,365.724

2839375711,Capreolus capreolus,46.177751,6.011343,365.724

2839374770,Capreolus capreolus,46.177745,6.011357,365.724

2839366173,Capreolus capreolus,46.182619,6.016771,330.9624

2839362066,Capreolus capreolus,46.17903,6.01486,365.724

2839361348,Capreolus capreolus,46.178984,6.014852,365.724

2839361315,Capreolus capreolus,46.178958,6.014808,365.724

2839352975,Capreolus capreolus,46.182593,6.0169,330.9624

2839344317,Cervus elaphus,46.30507,6.140517,1550.767

2839327751,Capreolus capreolus,46.177694,6.01128,365.724

2839327465,Capreolus capreolus,46.206857,6.067123,397.8058

2839326095,Sus scrofa,46.178957,6.010495,365.724

2839324722,Capreolus capreolus,46.179012,6.014834,365.724

2839311385,Capreolus capreolus,46.179006,6.014791,365.724

2839307635,Capreolus capreolus,46.180678,6.016385,365.724

2839301823,Capreolus capreolus,46.177756,6.011315,365.724

2839255126,Capreolus capreolus,46.179045,6.014855,365.724

2839255013,Capreolus capreolus,46.180903,6.016762,330.9624

2839226126,Capreolus capreolus,46.18271,6.016942,330.9624

2839200871,Capreolus capreolus,46.181212,6.016595,365.724

2839199471,Capreolus capreolus,46.178905,6.009192,365.724

2839148328,Capreolus capreolus,46.179027,6.014812,365.724

2839143673,Sus scrofa,46.180921,6.016042,365.724

2839134824,Lepus europaeus,46.18699,6.0705,849.2642

2839133992,Capreolus capreolus,46.179342,6.014774,365.724

2839133385,Capreolus capreolus,46.1808,6.016358,365.724

2839127423,Cervus elaphus,46.304725,6.140488,1550.767

2839112861,Capreolus capreolus,46.180772,6.016411,365.724

2839112088,Sciurus vulgaris,46.182835,6.016951,330.9624

2839096056,Capreolus capreolus,46.182656,6.016818,330.9624

2839078588,Capreolus capreolus,46.182678,6.017036,330.9624

2839000962,Capreolus capreolus,46.182705,6.016704,330.9624

2838989080,Capreolus capreolus,46.178967,6.014843,365.724

2838986069,Mustela erminea,46.681714,7.821236,428.0227

2838954879,Capreolus capreolus,46.182544,6.016823,330.9624

2838950094,Capreolus capreolus,46.179014,6.014857,365.724

2838946629,Capreolus capreolus,46.18255,6.016831,330.9624

2838943012,Capreolus capreolus,46.182656,6.016818,330.9624

2838930149,Capreolus capreolus,46.182685,6.016928,330.9624

2838925000,Capreolus capreolus,46.182587,6.017162,330.9624

2838920184,Capreolus capreolus,46.182563,6.016816,330.9624

2838888242,Capreolus capreolus,46.177798,6.011296,365.724

2838886151,Capreolus capreolus,46.182593,6.0169,330.9624

2838880974,Capreolus capreolus,46.182464,6.016914,330.9624

2838211793,Capreolus capreolus,46.177754,6.011329,365.724

2838110195,Capreolus capreolus,46.180775,6.016377,365.724

2838084790,Mustela erminea,47.082613,8.296013,1561.835

2837725052,Capreolus capreolus,46.180767,6.016385,365.724

2836824446,Capreolus capreolus,46.868087,7.236727,324.7187

2836791206,Erinaceus europaeus,46.854336,7.246598,332.5677

2836379991,Capreolus capreolus,46.18063,6.016131,365.724

2836352329,Capreolus capreolus,46.190082,6.074163,849.2642

2836278938,Capreolus capreolus,46.17898,6.014863,365.724

2836278721,Capreolus capreolus,46.177746,6.011357,365.724

2836272952,Capreolus capreolus,46.179153,6.01471,365.724

2836239625,Capreolus capreolus,46.177759,6.011318,365.724

2836229670,Capreolus capreolus,46.179063,6.014835,365.724

2836223737,Capreolus capreolus,46.182687,6.016839,330.9624

2836154161,Capreolus capreolus,46.17713,6.012083,365.724

2836153627,Sciurus vulgaris,46.178612,6.010731,365.724

2836148814,Capreolus capreolus,46.182792,6.016884,330.9624

2836145576,Capreolus capreolus,46.180665,6.016532,365.724

2836135896,Capreolus capreolus,46.182552,6.017051,330.9624

2836135434,Capreolus capreolus,46.179058,6.014634,365.724

2836129997,Capreolus capreolus,46.178959,6.014759,365.724

2836121176,Capreolus capreolus,46.18063,6.016131,365.724

2836120709,Sciurus vulgaris,46.180702,6.016309,365.724

2836105182,Capreolus capreolus,46.179201,6.014772,365.724

